ra,dec,,ra_deg
6.8667,-0.2741,,103.0000
6.9333,-2.2246,,104.0000
7.0000,-4.1693,,105.0000
7.0667,-6.1032,,106.0000
7.1333,-8.0214,,107.0000
7.2000,-9.9193,,108.0000
7.2667,-11.7925,,109.0000
7.3333,-13.6371,,110.0000
7.4000,-15.4493,,111.0000
7.4667,-17.2261,,112.0000
7.5333,-18.9645,,113.0000
7.6000,-20.6621,,114.0000
7.6667,-22.3171,,115.0000
7.7333,-23.9277,,116.0000
7.8000,-25.4928,,117.0000
7.8667,-27.0116,,118.0000
7.9333,-28.4835,,119.0000
8.0000,-29.9084,,120.0000
8.0667,-31.2864,,121.0000
8.1333,-32.6177,,122.0000
8.2000,-33.9029,,123.0000
8.2667,-35.1426,,124.0000
8.3333,-36.3377,,125.0000
8.4000,-37.4891,,126.0000
8.4667,-38.5980,,127.0000
8.5333,-39.6654,,128.0000
8.6000,-40.6924,,129.0000
8.6667,-41.6804,,130.0000
8.7333,-42.6305,,131.0000
8.8000,-43.5441,,132.0000
8.8667,-44.4223,,133.0000
8.9333,-45.2664,,134.0000
9.0000,-46.0777,,135.0000
9.0667,-46.8573,,136.0000
9.1333,-47.6065,,137.0000
9.2000,-48.3264,,138.0000
9.2667,-49.0180,,139.0000
9.3333,-49.6826,,140.0000
9.4000,-50.3211,,141.0000
9.4667,-50.9345,,142.0000
9.5333,-51.5239,,143.0000
9.6000,-52.0900,,144.0000
9.6667,-52.6340,,145.0000
9.7333,-53.1565,,146.0000
9.8000,-53.6584,,147.0000
9.8667,-54.1405,,148.0000
9.9333,-54.6035,,149.0000
10.0000,-55.0482,,150.0000
10.0667,-55.4752,,151.0000
10.1333,-55.8851,,152.0000
10.2000,-56.2787,,153.0000
10.2667,-56.6564,,154.0000
10.3333,-57.0188,,155.0000
10.4000,-57.3665,,156.0000
10.4667,-57.6999,,157.0000
10.5333,-58.0196,,158.0000
10.6000,-58.3259,,159.0000
10.6667,-58.6194,,160.0000
10.7333,-58.9004,,161.0000
10.8000,-59.1692,,162.0000
10.8667,-59.4264,,163.0000
10.9333,-59.6722,,164.0000
11.0000,-59.9069,,165.0000
11.0667,-60.1309,,166.0000
11.1333,-60.3444,,167.0000
11.2000,-60.5478,,168.0000
11.2667,-60.7413,,169.0000
11.3333,-60.9251,,170.0000
11.4000,-61.0994,,171.0000
11.4667,-61.2646,,172.0000
11.5333,-61.4208,,173.0000
11.6000,-61.5681,,174.0000
11.6667,-61.7069,,175.0000
11.7333,-61.8372,,176.0000
11.8000,-61.9591,,177.0000
11.8667,-62.0730,,178.0000
11.9333,-62.1788,,179.0000
12.0000,-62.2767,,180.0000
12.0667,-62.3668,,181.0000
12.1333,-62.4493,,182.0000
12.2000,-62.5242,,183.0000
12.2667,-62.5916,,184.0000
12.3333,-62.6516,,185.0000
12.4000,-62.7043,,186.0000
12.4667,-62.7497,,187.0000
12.5333,-62.7878,,188.0000
12.6000,-62.8188,,189.0000
12.6667,-62.8427,,190.0000
12.7333,-62.8594,,191.0000
12.8000,-62.8690,,192.0000
12.8667,-62.8716,,193.0000
12.9333,-62.8671,,194.0000
13.0000,-62.8554,,195.0000
13.0667,-62.8367,,196.0000
13.1333,-62.8109,,197.0000
13.2000,-62.7779,,198.0000
13.2667,-62.7377,,199.0000
13.3333,-62.6902,,200.0000
13.4000,-62.6355,,201.0000
13.4667,-62.5734,,202.0000
13.5333,-62.5039,,203.0000
13.6000,-62.4269,,204.0000
13.6667,-62.3423,,205.0000
13.7333,-62.2500,,206.0000
13.8000,-62.1498,,207.0000
13.8667,-62.0418,,208.0000
13.9333,-61.9257,,209.0000
14.0000,-61.8014,,210.0000
14.0667,-61.6688,,211.0000
14.1333,-61.5276,,212.0000
14.2000,-61.3778,,213.0000
14.2667,-61.2191,,214.0000
14.3333,-61.0514,,215.0000
14.4000,-60.8744,,216.0000
14.4667,-60.6879,,217.0000
14.5333,-60.4917,,218.0000
14.6000,-60.2855,,219.0000
14.6667,-60.0690,,220.0000
14.7333,-59.8421,,221.0000
14.8000,-59.6043,,222.0000
14.8667,-59.3553,,223.0000
14.9333,-59.0949,,224.0000
15.0000,-58.8227,,225.0000
15.0667,-58.5382,,226.0000
15.1333,-58.2412,,227.0000
15.2000,-57.9312,,228.0000
15.2667,-57.6077,,229.0000
15.3333,-57.2703,,230.0000
15.4000,-56.9185,,231.0000
15.4667,-56.5519,,232.0000
15.5333,-56.1698,,233.0000
15.6000,-55.7717,,234.0000
15.6667,-55.3570,,235.0000
15.7333,-54.9251,,236.0000
15.8000,-54.4754,,237.0000
15.8667,-54.0070,,238.0000
15.9333,-53.5195,,239.0000
16.0000,-53.0118,,240.0000
16.0667,-52.4834,,241.0000
16.1333,-51.9333,,242.0000
16.2000,-51.3607,,243.0000
16.2667,-50.7647,,244.0000
16.3333,-50.1443,,245.0000
16.4000,-49.4986,,246.0000
16.4667,-48.8266,,247.0000
16.5333,-48.1271,,248.0000
16.6000,-47.3991,,249.0000
16.6667,-46.6415,,250.0000
16.7333,-45.8531,,251.0000
16.8000,-45.0327,,252.0000
16.8667,-44.1792,,253.0000
16.9333,-43.2911,,254.0000
17.0000,-42.3674,,255.0000
